t,y,avg
85.0000000000,44.2607788803,42.6221964442
86.0000000000,45.3055125760,43.0164649413
87.0000000000,45.1536652333,43.3561718317
88.0000000000,45.4582467192,43.6592642353
89.0000000000,46.7129991920,44.1812266309
90.0000000000,47.1991466344,44.7122131582
91.0000000000,48.1983284566,45.2203699733
92.0000000000,48.5396264821,45.7765987815
93.0000000000,48.8851713413,46.3111426398
94.0000000000,48.8851713413,46.8598646857
95.0000000000,50.1291920442,47.4467060020
96.0000000000,50.4948643162,47.9656411761
97.0000000000,52.5927912835,48.7095537811
98.0000000000,52.5927912835,49.4230082375
99.0000000000,54.0094451200,50.1526528303
100.0000000000,54.4266591125,50.8754040781
101.0000000000,56.1541823512,51.6709894676
102.0000000000,56.1541823512,52.4324450545
103.0000000000,57.2841100528,53.2723389256
104.0000000000,57.2841100528,54.1122327968
105.0000000000,57.0549014560,54.8048037380
106.0000000000,58.4552067009,55.6008379764
107.0000000000,57.5149649013,56.0930553382
108.0000000000,57.5149649013,56.5852727000
109.0000000000,57.5149649013,56.9358246781
110.0000000000,59.4232600142,57.4354847683
111.0000000000,60.1683019350,57.8368967267
112.0000000000,60.4203773245,58.2635162240
113.0000000000,61.4478874683,58.6798939656
114.0000000000,61.1880848993,59.0702914502
115.0000000000,63.0492500954,59.6697263141
116.0000000000,63.0492500954,60.1291306536
117.0000000000,63.5998193748,60.7376161009
118.0000000000,62.2393109650,61.2100507073
119.0000000000,64.1591118854,61.8744654057
120.0000000000,64.4420943964,62.3763488439
121.0000000000,64.7273365992,62.8322523104
122.0000000000,61.4478874683,62.9350033247
123.0000000000,61.1880848993,62.9090230678
124.0000000000,61.7096773501,62.9611823129
125.0000000000,64.1591118854,63.0721684919
126.0000000000,65.0148656686,63.2687300492
127.0000000000,66.1884096090,63.5275890727
128.0000000000,66.7896423324,63.9826222094
129.0000000000,66.7896423324,64.2456752541
130.0000000000,66.7896423324,64.4804300477
131.0000000000,65.3047092170,64.5381673095
132.0000000000,65.5968953030,64.9530680930
133.0000000000,66.7896423324,65.5132238363
134.0000000000,66.7896423324,66.0212203345
135.0000000000,66.4877962606,66.2540887720
136.0000000000,66.7896423324,66.4315664384
137.0000000000,66.1884096090,66.4315664384
138.0000000000,66.1884096090,66.3714431661
139.0000000000,67.4008349634,66.4325624292
140.0000000000,68.0222370600,66.5558219019
141.0000000000,66.7896423324,66.7043152134
142.0000000000,66.7896423324,66.8235899164
143.0000000000,67.4008349634,66.8847091795
144.0000000000,68.0222370600,67.0079686522
145.0000000000,68.0222370600,67.1614127322
146.0000000000,68.0222370600,67.2846722049
147.0000000000,66.4877962606,67.3146108701
148.0000000000,66.1884096090,67.3146108701
149.0000000000,65.8914524408,67.1636726178
150.0000000000,67.7102439068,67.1324733025
151.0000000000,67.4008349634,67.1935925656
152.0000000000,67.7102439068,67.2856527231
153.0000000000,66.7896423324,67.2245334600
154.0000000000,67.7102439068,67.1933341446
155.0000000000,66.4877962606,67.0398900647
156.0000000000,66.7896423324,66.9166305919
157.0000000000,66.7896423324,66.9468151991
158.0000000000,65.3047092170,66.8584451599
159.0000000000,66.1884096090,66.8881408767
160.0000000000,66.4877962606,66.7658961121
161.0000000000,66.7896423324,66.7047768490
162.0000000000,66.7896423324,66.6127166916
163.0000000000,66.4877962606,66.5825320844
164.0000000000,66.7896423324,66.4904719270
165.0000000000,66.7896423324,66.5206565341
166.0000000000,68.0222370600,66.6439160069
167.0000000000,68.3368469340,66.7986364671
168.0000000000,68.9740496388,67.1655705093
169.0000000000,73.3938898634,67.8861185347
170.0000000000,73.3938898634,68.5767278950
171.0000000000,75.2338940100,69.4211530627
172.0000000000,74.8591858285,70.2281074123
173.0000000000,76.7676708883,71.2560948751
174.0000000000,76.7676708883,72.2538977307
175.0000000000,76.7676708883,73.2517005863
176.0000000000,77.1600967000,74.1654865503
177.0000000000,76.7676708883,75.0085689457
178.0000000000,78.7672699769,75.9878909796
179.0000000000,79.5940972051,76.6079117137
180.0000000000,80.4370214360,77.3122248710
181.0000000000,77.9560830148,77.5844437715
182.0000000000,81.2965173646,78.2281769251
183.0000000000,81.2965173646,78.6810615727
184.0000000000,81.7326331866,79.1775578025
185.0000000000,80.4370214360,79.5444928573
186.0000000000,78.3597493304,79.6644581203
187.0000000000,77.9560830148,79.7832993330
188.0000000000,78.7672699769,79.7832993330
189.0000000000,77.1600967000,79.5398992825
190.0000000000,75.6120483993,79.0574019788
191.0000000000,74.4878769594,78.7105813733
192.0000000000,73.3938898634,77.9203186231
193.0000000000,71.9801295866,76.9886798453
194.0000000000,72.6807391982,76.0834904465
195.0000000000,70.9520154189,75.1349898448
196.0000000000,68.9740496388,74.1964198756
197.0000000000,68.6541065877,73.2662222329
198.0000000000,69.9503239969,72.3845276349
199.0000000000,68.6541065877,71.5339286237
200.0000000000,68.9740496388,70.8701287476
201.0000000000,68.0222370600,70.2235647577
202.0000000000,66.7896423324,69.5631400046
203.0000000000,66.4877962606,69.0139066720
204.0000000000,65.3047092170,68.2763036739
205.0000000000,64.4420943964,67.6253115716
206.0000000000,65.5968953030,67.2875961380
207.0000000000,65.5968953030,66.9818750096
208.0000000000,65.5968953030,66.5465321402
209.0000000000,66.7896423324,66.3600857147
210.0000000000,65.5968953030,66.0223702811
211.0000000000,65.3047092170,65.7506174968
212.0000000000,65.5968953030,65.6313427939
213.0000000000,63.5998193748,65.3425451053
214.0000000000,64.1591118854,65.2279853721
215.0000000000,64.1591118854,65.1996871210
216.0000000000,63.8783623200,65.0278338227
217.0000000000,65.5968953030,65.0278338227
218.0000000000,66.4877962606,65.1169239185
219.0000000000,66.7896423324,65.1169239185
220.0000000000,66.7896423324,65.2361986214
221.0000000000,68.9740496388,65.6031326636
222.0000000000,69.9503239969,66.0384755330
223.0000000000,69.9503239969,66.6735259952
224.0000000000,70.2813484243,67.2857496491
225.0000000000,69.6221232733,67.8320507879
226.0000000000,70.6152331537,68.5057378712
227.0000000000,70.9520154189,69.0412498828
228.0000000000,71.2917331025,69.5216435670
229.0000000000,74.1199213542,70.2546714692
230.0000000000,74.1199213542,70.9876993714
231.0000000000,73.7552737926,71.4658217868
232.0000000000,77.1600967000,72.1867990571
233.0000000000,77.5562166061,72.9473883180
234.0000000000,77.1600967000,73.6352631455
235.0000000000,77.1600967000,74.3890604882
236.0000000000,76.7676708883,75.0043042617
237.0000000000,76.3788877361,75.5469914934
238.0000000000,76.7676708883,76.0945852720
239.0000000000,76.7676708883,76.3593602254
240.0000000000,78.3597493304,76.7833430230
241.0000000000,77.1600967000,77.1238253137
242.0000000000,76.7676708883,77.0845827326
243.0000000000,77.1600967000,77.0449707420
244.0000000000,78.7672699769,77.2056880697
245.0000000000,78.7672699769,77.3664053973
246.0000000000,80.0135179579,77.6909901043
247.0000000000,80.4370214360,78.0968034743
248.0000000000,81.2965173646,78.5496881219
249.0000000000,79.5940972051,78.8323307536
250.0000000000,79.5940972051,78.9557655411
251.0000000000,80.0135179579,79.2411076669
252.0000000000,81.7326331866,79.7376038967
253.0000000000,80.0135179579,80.0229460225
254.0000000000,80.0135179579,80.1475708206
255.0000000000,80.4370214360,80.3145459665
256.0000000000,82.1730785361,80.5305020243
257.0000000000,80.4370214360,80.5305020243
258.0000000000,80.8646675441,80.4873170423
259.0000000000,81.2965173646,80.6575590582
260.0000000000,82.6179182066,80.9599411584
261.0000000000,85.3830333363,81.4968926962
262.0000000000,83.5210462140,81.6757339989
