t,z
0.0,34.2549125576344
1.0,33.60223519111186
2.0,33.60223519111186
3.0,33.60223519111186
4.0,33.60223519111186
5.0,34.2549125576344
6.0,33.510677601848904
7.0,33.41953200623799
8.0,33.510677601848904
9.0,34.2549125576344
10.0,34.2549125576344
11.0,33.879408045731786
12.0,33.97264186281092
13.0,34.73410691847809
14.0,34.34986905982479
15.0,34.34986905982479
16.0,34.34986905982479
17.0,34.066301929461694
18.0,34.34986905982479
19.0,34.83128475509808
20.0,34.928916204995446
21.0,33.879408045731786
22.0,35.32404225817546
23.0,36.55540305115126
24.0,36.55540305115126
25.0,36.66125849211477
26.0,36.55540305115126
27.0,36.34522459903804
28.0,36.45005965557409
29.0,36.7676297209287
30.0,37.30735625343642
31.0,37.19834865301043
32.0,37.4169028801516
33.0,36.981934695211024
34.0,36.981934695211024
35.0,36.87452051661699
36.0,36.981934695211024
37.0,36.981934695211024
38.0,37.19834865301043
39.0,37.4169028801516
40.0,37.526992541172156
41.0,37.74881719786542
42.0,37.74881719786542
43.0,38.085729457867345
44.0,38.1991637589715
45.0,37.637629284349295
46.0,38.65866693529182
47.0,38.42775340452619
48.0,38.65866693529182
49.0,38.89193996990062
50.0,38.77500626008972
51.0,38.89193996990062
52.0,39.009472631516815
53.0,39.009472631516815
54.0,39.485685786253434
55.0,38.89193996990062
56.0,39.1276088586343
57.0,39.1276088586343
58.0,39.1276088586343
59.0,38.89193996990062
60.0,38.89193996990062
61.0,39.60628337173739
62.0,40.84759106817055
63.0,40.59406781589484
64.0,40.84759106817055
65.0,40.34321701893965
66.0,39.849365527826905
67.0,39.727508316218774
68.0,39.971859966023196
69.0,39.971859966023196
70.0,40.72049272303495
71.0,41.10382971124022
72.0,41.10382971124022
73.0,41.75659632943582
74.0,41.36282760526018
75.0,41.10382971124022
76.0,41.36282760526018
77.0,41.75659632943582
78.0,42.42732268256908
79.0,41.493375236660924
80.0,41.88928136117537
81.0,43.11676030539587
82.0,42.97733840061897
83.0,43.539732758528096
